0.001	1.000000	0.000000
0.004	0.755618	0.763232
0.006	0.674661	1.050360
0.009	0.636000	1.196144
0.011	0.614978	1.278144
0.014	0.602702	1.326997
0.016	0.595170	1.357352
0.019	0.590346	1.376962
0.021	0.587115	1.390182
0.024	0.584839	1.399547
0.026	0.583142	1.406567
0.029	0.581797	1.412152
0.031	0.580668	1.416857
0.034	0.579672	1.421021
0.036	0.578758	1.424851
0.039	0.577895	1.428476
0.041	0.577064	1.431975
0.044	0.576252	1.435395
0.046	0.575452	1.438767
0.049	0.574661	1.442109
0.051	0.573874	1.445433
0.054	0.573090	1.448746
0.056	0.572309	1.452051
0.059	0.571530	1.455352
0.061	0.570752	1.458651
0.064	0.569974	1.461947
0.066	0.569198	1.465243
0.069	0.568423	1.468537
0.071	0.567648	1.471831
0.074	0.566873	1.475125
0.076	0.566100	1.478419
0.079	0.565327	1.481712
0.081	0.564554	1.485005
0.084	0.563783	1.488298
0.086	0.563012	1.491591
0.089	0.562241	1.494883
0.091	0.561471	1.498175
0.094	0.560702	1.501468
0.096	0.559933	1.504760
0.099	0.559165	1.508051
0.101	0.558398	1.511343
0.104	0.557631	1.514635
0.106	0.556865	1.517926
0.109	0.556099	1.521217
0.111	0.555334	1.524508
0.114	0.554570	1.527799
0.116	0.553806	1.531089
0.119	0.553043	1.534380
0.121	0.552281	1.537670
0.124	0.551519	1.540960
0.126	0.550758	1.544249
0.129	0.549997	1.547539
0.131	0.549237	1.550828
0.134	0.548478	1.554117
0.136	0.547719	1.557406
0.139	0.546961	1.560694
0.141	0.546203	1.563983
0.144	0.545447	1.567271
0.146	0.544690	1.570559
0.149	0.543935	1.573846
0.151	0.543180	1.577133
0.154	0.542426	1.580420
0.156	0.541672	1.583707
0.159	0.540919	1.586994
0.161	0.540167	1.590280
0.164	0.539415	1.593566
0.166	0.538664	1.596851
0.169	0.537913	1.600137
0.171	0.537164	1.603422
0.174	0.536414	1.606706
0.176	0.535666	1.609991
0.179	0.534918	1.613275
0.181	0.534171	1.616558
0.184	0.533424	1.619842
0.186	0.532678	1.623125
0.189	0.531933	1.626407
0.191	0.531189	1.629689
0.194	0.530445	1.632971
0.196	0.529701	1.636253
0.199	0.528959	1.639534
0.201	0.528217	1.642815
0.204	0.527476	1.646095
0.206	0.526735	1.649375
0.209	0.525995	1.652655
0.211	0.525256	1.655934
0.214	0.524517	1.659212
0.216	0.523779	1.662490
0.219	0.523042	1.665768
0.221	0.522305	1.669046
0.224	0.521569	1.672322
0.226	0.520834	1.675599
0.229	0.520100	1.678875
0.231	0.519366	1.682150
0.234	0.518633	1.685425
0.236	0.517900	1.688699
0.239	0.517168	1.691973
0.241	0.516437	1.695246
0.244	0.515707	1.698519
0.246	0.514977	1.701791
0.249	0.514248	1.705063
0.251	0.513520	1.708334
0.254	0.512792	1.711604
0.256	0.512065	1.714874
0.259	0.511339	1.718143
0.261	0.510614	1.721412
0.264	0.509889	1.724680
0.266	0.509165	1.727947
0.269	0.508442	1.731214
0.271	0.507719	1.734480
0.274	0.506997	1.737745
0.276	0.506276	1.741010
0.279	0.505556	1.744274
0.281	0.504836	1.747537
0.284	0.504117	1.750799
0.286	0.503399	1.754061
0.289	0.502681	1.757321
0.291	0.501965	1.760581
0.294	0.501249	1.763841
0.296	0.500534	1.767099
0.299	0.499819	1.770357
0.301	0.499105	1.773613
0.304	0.498393	1.776869
0.306	0.497680	1.780124
0.309	0.496969	1.783378
0.311	0.496258	1.786631
0.314	0.495549	1.789883
0.316	0.494839	1.793134
0.319	0.494131	1.796384
0.321	0.493424	1.799634
0.324	0.492717	1.802882
0.326	0.492011	1.806129
0.329	0.491306	1.809375
0.331	0.490602	1.812620
0.334	0.489898	1.815863
0.336	0.489196	1.819106
0.339	0.488494	1.822348
0.341	0.487793	1.825588
0.344	0.487093	1.828827
0.346	0.486393	1.832065
0.349	0.485695	1.835301
0.351	0.484997	1.838537
0.354	0.484300	1.841771
0.356	0.483604	1.845003
0.359	0.482909	1.848234
0.361	0.482215	1.851464
0.364	0.481522	1.854693
0.366	0.480829	1.857920
0.369	0.480138	1.861145
0.371	0.479447	1.864369
0.374	0.478757	1.867591
0.376	0.478068	1.870812
0.379	0.477380	1.874031
0.381	0.476693	1.877249
0.384	0.476007	1.880465
0.386	0.475322	1.883679
0.389	0.474638	1.886891
0.391	0.473954	1.890101
0.394	0.473272	1.893310
0.396	0.472591	1.896517
0.399	0.471910	1.899722
0.401	0.471231	1.902925
0.404	0.470552	1.906125
