0.00125	10	0	1	10
0.00375	10	0	1	10
0.00625	10	0	1	10
0.00875	10	0	1	10
0.01125	10	0	1	10
0.01375	10	0	1	10
0.01625	10	0	1	10
0.01875	10	0	1	10
0.02125	10	0	1	10
0.02375	10	0	1	10
0.02625	10	0	1	10
0.02875	10	0	1	10
0.03125	10	0	1	10
0.03375	10	0	1	10
0.03625	10	0	1	10
0.03875	10	0	1	10
0.04125	10	0	1	10
0.04375	10	0	1	10
0.04625	10	0	1	10
0.04875	10	0	1	10
0.05125	10	0	1	10
0.05375	10	0	1	10
0.05625	10	0	1	10
0.05875	10	0	1	10
0.06125	10	0	1	10
0.06375	10	0	1	10
0.06625	10	0	1	10
0.06875	10	0	1	10
0.07125	10	0	1	10
0.07375	10	0	1	10
0.07625	10	0	1	10
0.07875	10	0	1	10
0.08125	10	0	1	10
0.08375	10	0	1	10
0.08625	10	0	1	10
0.08875	10	0	1	10
0.09125	10	0	1	10
0.09375	10	0	1	10
0.09625	10	0	1	10
0.09875	10	0	1	10
0.10125	10	0	1	10
0.10375	10	0	1	10
0.10625	10	0	1	10
0.10875	10	0	1	10
0.11125	10	0	1	10
0.11375	10	0	1	10
0.11625	10	0	1	10
0.11875	10	0	1	10
0.12125	10	0	1	10
0.12375	10	0	1	10
0.12625	10	0	1	10
0.12875	10	0	1	10
0.13125	10	0	1	10
0.13375	10	0	1	10
0.13625	10	0	1	10
0.13875	10	0	1	10
0.14125	10	0	1	10
0.14375	10	0	1	10
0.14625	10	0	1	10
0.14875	10	0	1	10
0.15125	10	0	1	10
0.15375	10	0	1	10
0.15625	10	2.01199e-08	1	10
0.15875	10	1.00599e-07	1	10
0.16125	10	3.01798e-07	1	10
0.16375	10	5.02997e-07	1	9.99999
0.16625	9.99999	8.65155e-07	1	9.99999
0.16875	9.99999	1.40839e-06	1	9.99998
0.17125	9.99998	2.21319e-06	0.999999	9.99997
0.17375	9.99997	3.70207e-06	0.999999	9.99996
0.17625	9.99995	5.95551e-06	0.999998	9.99993
0.17875	9.99992	9.25521e-06	0.999997	9.99989
0.18125	9.99988	1.43456e-05	0.999995	9.99983
0.18375	9.99981	2.20518e-05	0.999993	9.99974
0.18625	9.99972	3.33999e-05	0.999989	9.9996
0.18875	9.99958	5.01609e-05	0.999983	9.99941
0.19125	9.99937	7.43274e-05	0.999975	9.99912
0.19375	9.99908	0.000108838	0.999963	9.99871
0.19625	9.99867	0.000157419	0.999947	9.99814
0.19875	9.9981	0.000225144	0.999924	9.99734
0.20125	9.99731	0.0003181	0.999893	9.99624
0.20375	9.99625	0.000444172	0.99985	9.99475
0.20625	9.99482	0.000612806	0.999793	9.99275
0.20875	9.99294	0.000835745	0.999718	9.99012
0.21125	9.99048	0.00112623	0.999619	9.98668
0.21375	9.98733	0.00150005	0.999493	9.98227
0.21625	9.98332	0.00197478	0.999333	9.97666
0.21875	9.9783	0.00256995	0.999132	9.96963
0.22125	9.97208	0.00330668	0.998883	9.96094
0.22375	9.96449	0.00420711	0.998579	9.95032
0.22625	9.95532	0.00529429	0.998212	9.93752
0.22875	9.9444	0.00659119	0.997774	9.92227
0.23125	9.93153	0.00812006	0.997259	9.90431
0.23375	9.91656	0.00990198	0.996658	9.88342
0.23625	9.89931	0.0119563	0.995966	9.85937
0.23875	9.87966	0.0143	0.995176	9.832
0.24125	9.8575	0.0169472	0.994286	9.80117
0.24375	9.83275	0.0199088	0.99329	9.76677
0.24625	9.80537	0.0231927	0.992186	9.72875
0.24875	9.77533	0.0268033	0.990973	9.68709
0.25125	9.74264	0.0307418	0.989652	9.64182
0.25375	9.70733	0.0350068	0.988222	9.593
0.25625	9.66947	0.0395938	0.986686	9.54073
0.25875	9.62914	0.044496	0.985045	9.48514
0.26125	9.58643	0.0497048	0.983304	9.42637
0.26375	9.54145	0.0552098	0.981466	9.36461
0.26625	9.49432	0.0609993	0.979535	9.30002
0.26875	9.44517	0.067061	0.977516	9.23281
0.27125	9.39414	0.0733817	0.975413	9.16316
